report,category,terminal,gate,metric,time_slot,sample_n,mmss,seconds
2차,신분확인,T1,4번출국장,P95,13시~14시,1302,0:24:01,1441
2차,신분확인,T1,4번출국장,P95,14시~15시,1196,0:18:02,1082
2차,신분확인,T1,4번출국장,P95,15시~16시,1204,0:04:17,257
2차,신분확인,T1,4번출국장,P95,16시~17시,1204,0:02:35,155
2차,신분확인,T1,4번출국장,P95,17시~18시,1058,0:02:17,137
2차,신분확인,T1,5번출국장,P95,전체,12256,0:21:58,1318
2차,신분확인,T1,5번출국장,P95,06시~07시,1231,0:09:43,583
2차,신분확인,T1,5번출국장,P95,07시~08시,1352,0:02:38,158
2차,신분확인,T1,5번출국장,P95,08시~09시,1314,0:03:48,228
2차,신분확인,T1,5번출국장,P95,09시~10시,1303,0:18:32,1112
2차,신분확인,T1,5번출국장,P95,10시~11시,1092,0:21:58,1318
2차,신분확인,T1,5번출국장,P95,13시~14시,1302,0:16:10,970
2차,신분확인,T1,5번출국장,P95,14시~15시,1196,0:08:23,503
2차,신분확인,T1,5번출국장,P95,15시~16시,1204,0:01:51,111
2차,신분확인,T1,5번출국장,P95,16시~17시,1204,0:03:05,185
2차,신분확인,T1,5번출국장,P95,17시~18시,1058,0:02:17,137
2차,신분확인,T2,1번출국장,P95,전체,12256,0:34:46,2086
2차,신분확인,T2,1번출국장,P95,06시~07시,1231,0:34:46,2086
2차,신분확인,T2,1번출국장,P95,07시~08시,1352,0:21:00,1260
2차,신분확인,T2,1번출국장,P95,08시~09시,1314,0:09:56,596
2차,신분확인,T2,1번출국장,P95,09시~10시,1303,0:04:01,241
2차,신분확인,T2,1번출국장,P95,10시~11시,1092,0:06:11,371
2차,신분확인,T2,1번출국장,P95,13시~14시,1302,0:24:00,1440
2차,신분확인,T2,1번출국장,P95,14시~15시,1196,0:19:58,1198
2차,신분확인,T2,1번출국장,P95,15시~16시,1204,0:20:47,1247
2차,신분확인,T2,1번출국장,P95,16시~17시,1204,0:09:10,550
2차,신분확인,T2,1번출국장,P95,17시~18시,1058,0:06:50,410
2차,신분확인,T2,2번출국장,P95,전체,12256,0:18:50,1130
2차,신분확인,T2,2번출국장,P95,06시~07시,1231,0:14:02,842
2차,신분확인,T2,2번출국장,P95,07시~08시,1352,0:09:13,553
2차,신분확인,T2,2번출국장,P95,08시~09시,1314,0:02:55,175
2차,신분확인,T2,2번출국장,P95,09시~10시,1303,0:17:49,1069
2차,신분확인,T2,2번출국장,P95,10시~11시,1092,0:18:50,1130
2차,신분확인,T2,2번출국장,P95,13시~14시,1302,0:11:27,687
2차,신분확인,T2,2번출국장,P95,14시~15시,1196,0:10:06,606
2차,신분확인,T2,2번출국장,P95,15시~16시,1204,0:03:18,198
2차,신분확인,T2,2번출국장,P95,16시~17시,1204,0:07:42,462
2차,신분확인,T2,2번출국장,P95,17시~18시,1058,0:12:42,762
2차,신분확인,T1,2번출국장,평균,전체,12256,0:01:40,100
2차,신분확인,T1,2번출국장,평균,06시~07시,1231,0:03:04,184
2차,신분확인,T1,2번출국장,평균,07시~08시,1352,0:01:18,78
2차,신분확인,T1,2번출국장,평균,08시~09시,1314,0:03:06,186
2차,신분확인,T1,2번출국장,평균,09시~10시,1303,0:01:13,73
2차,신분확인,T1,2번출국장,평균,10시~11시,1092,0:01:57,117
2차,신분확인,T1,2번출국장,평균,13시~14시,1302,0:04:01,241
2차,신분확인,T1,2번출국장,평균,14시~15시,1196,0:00:45,45
2차,신분확인,T1,2번출국장,평균,15시~16시,1204,0:01:23,83
2차,신분확인,T1,2번출국장,평균,16시~17시,1204,0:01:24,84
2차,신분확인,T1,2번출국장,평균,17시~18시,1058,0:00:37,37
2차,신분확인,T1,3번출국장,평균,전체,12256,0:06:28,388
2차,신분확인,T1,3번출국장,평균,06시~07시,1231,0:03:29,209
2차,신분확인,T1,3번출국장,평균,07시~08시,1352,0:05:06,306
2차,신분확인,T1,3번출국장,평균,08시~09시,1314,0:04:24,264
2차,신분확인,T1,3번출국장,평균,09시~10시,1303,0:09:39,579
2차,신분확인,T1,3번출국장,평균,10시~11시,1092,0:09:19,559
2차,신분확인,T1,3번출국장,평균,13시~14시,1302,0:11:37,697
2차,신분확인,T1,3번출국장,평균,14시~15시,1196,0:01:28,88
2차,신분확인,T1,3번출국장,평균,15시~16시,1204,0:01:41,101
2차,신분확인,T1,3번출국장,평균,16시~17시,1204,0:01:24,84
2차,신분확인,T1,3번출국장,평균,17시~18시,1058,0:01:45,105
2차,신분확인,T1,4번출국장,평균,전체,12256,0:10:05,605
2차,신분확인,T1,4번출국장,평균,06시~07시,1231,0:02:24,144
2차,신분확인,T1,4번출국장,평균,07시~08시,1352,0:00:59,59
2차,신분확인,T1,4번출국장,평균,08시~09시,1314,0:04:18,258
